Experiment 1		run: 1		seed: 316
step :	100
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	0	0	0
(1,3)	0	0	0	0
(1,4)	0	0	0	0
(1,5)	0	0	0	-0.3
(2,1)	-0.3	-0.51	0	-0.51
(2,2)	0	-0.3	-0.657	0
(2,3)	0	0	-0.3	0
(2,4)	0	0	0	0
(2,5)	0	0	0	-0.51
(3,1)	-0.51	-0.3	0	-0.51
(3,2)	-0.3	0	-0.3	0
(3,3)	0	0	0	0
(3,4)	0	0	0	-0.3
(3,5)	-0.3	0	0	-0.51
(4,1)	-0.51	-0.3	0	-0.51
(4,2)	-0.3	-0.3	-0.3	-0.3
(4,3)	0	0	-0.51	0
(4,4)	-0.3	-0.3	0	0
(4,5)	-0.3	0	0	-0.15900000000000003
(5,1)	-0.51	0	0	0
(5,2)	-0.3	0	0	0
(5,3)	-0.3	-0.3	0	0
(5,4)	-0.3	0	0	0
(5,5)	0	0	0	0


x = 1
		N	E	W	S
(1,1)	0	-0.657	0	-0.51
(1,2)	0	-0.51	-0.657	-0.3
(1,3)	0	0	-0.51	0
(1,4)	0	0	0	0
(1,5)	0	0	0	0
(2,1)	-0.51	-0.3	0	-0.3
(2,2)	-0.3	-0.3	-0.3	-0.51
(2,3)	0	0	-0.3	0
(2,4)	0	0	0	0
(2,5)	0	0	0	0
(3,1)	-0.3	-0.3	0	0
(3,2)	-0.51	-0.3	-0.3	0
(3,3)	0	0	0	-0.3
(3,4)	0	0	0	-0.3
(3,5)	0	0	-0.3	-0.3
(4,1)	0	0	0	0
(4,2)	-0.3	0	0	0
(4,3)	0	-0.3	-0.3	-0.3
(4,4)	0	-0.3	-0.51	0
(4,5)	-0.51	0	-0.3	-0.3
(5,1)	0	0	0	0
(5,2)	0	0	0	0
(5,3)	0	0	0	0
(5,4)	0	0	0.050999999999999976	0
(5,5)	-0.51	0	-0.3	0


step :	200
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	0	0	-0.3
(1,3)	0	-0.3	-0.3	-0.3
(1,4)	0	0	-0.657	0
(1,5)	0	0	-0.3	-0.51
(2,1)	-0.3	-0.51	0	-0.657
(2,2)	0	-0.3	-0.7599	0
(2,3)	0	0	-0.3	-0.3
(2,4)	-0.3	0	0	-0.3
(2,5)	-0.51	0	-0.51	-0.51
(3,1)	-0.51	-0.6524099999999999	0	-0.51
(3,2)	-0.3	0.3323999999999999	-0.3	-0.51
(3,3)	0	0	0	0
(3,4)	0	0	0	-0.51
(3,5)	-0.3	0	0	-0.51
(4,1)	-0.657	-0.3	0	-0.657
(4,2)	-0.6524099999999999	-0.3	-0.3	-0.657
(4,3)	0	0	-0.657	-0.51
(4,4)	-0.3	-0.3	-0.3	-0.483297
(4,5)	-0.3	0	0	-0.15900000000000003
(5,1)	-0.7599	-0.51	0	0
(5,2)	-0.51	-0.3	-0.657	0
(5,3)	-0.657	-0.483297	-0.3	0
(5,4)	-0.657	0.29669999999999996	0	0
(5,5)	0	0	0	0


x = 1
		N	E	W	S
(1,1)	0	-0.8319300000000001	0	-0.657
(1,2)	0	-0.8319300000000001	-0.7599	-0.3
(1,3)	0	-0.51	-0.657	-0.3
(1,4)	0	-0.657	0	-0.3
(1,5)	0	0	-0.3	0.08669999999999997
(2,1)	-0.657	-0.51	0	-0.3
(2,2)	-0.51	-0.657	-0.51	-0.51
(2,3)	-0.3	-0.3	-0.657	0
(2,4)	-0.3	0.050999999999999976	0	0
(2,5)	0	0	0	0
(3,1)	-0.3	-0.3	0	0
(3,2)	-0.657	-0.3	-0.3	0
(3,3)	-0.3	0	-0.3	-0.3
(3,4)	0	0	0	-0.3
(3,5)	0	0	-0.3	-0.3
(4,1)	0	0	0	0
(4,2)	-0.3	0	0	0
(4,3)	0	-0.3	-0.3	-0.3
(4,4)	0	-0.3	-0.51	0
(4,5)	-0.51	0	-0.3	-0.51
(5,1)	0	0	0	0
(5,2)	0	0	0	0
(5,3)	0	0	0	0
(5,4)	0	-0.3	0.3323999999999999	0
(5,5)	-0.657	0	-0.649197	0


step :	300
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	0	0	-0.51
(1,3)	0	-0.51	-0.51	-0.79593144849
(1,4)	0	-0.51	-0.9176456999999998	0
(1,5)	0	0	-0.657	-0.51
(2,1)	-0.3	-0.51	0	-0.657
(2,2)	0	-0.773930301	-0.7599	-0.270084
(2,3)	-0.657	-0.657	-0.8319300000000001	0.37908300000000006
(2,4)	-0.7599	-0.3	-0.51	-0.3
(2,5)	-0.51	0	-0.8319300000000001	-0.51
(3,1)	-0.51	-0.6524099999999999	0	-0.51
(3,2)	-0.3	0.3323999999999999	-0.3	-0.657
(3,3)	0	0	0	0
(3,4)	0	0	0.46869	-0.657
(3,5)	-0.51	0	0	-0.657
(4,1)	-0.657	-0.3	0	-0.657
(4,2)	-0.7267709999999998	-0.657	-0.3	-0.657
(4,3)	0	-0.657	-0.657	-0.51
(4,4)	-0.6148179	-0.657	-0.3	-0.7014204299999999
(4,5)	-0.657	0	-0.3	-0.15900000000000003
(5,1)	-0.7599	-0.51	0	0
(5,2)	-0.7599	-0.51	-0.657	0
(5,3)	-0.7599	-0.7014204299999999	-0.7599	0
(5,4)	-0.7599	0.29669999999999996	-0.657	0
(5,5)	0	0	0	0


x = 1
		N	E	W	S
(1,1)	0	-0.8319300000000001	0	-0.657
(1,2)	0	-0.8319300000000001	-0.7599	-0.3
(1,3)	0	-0.51	-0.657	-0.3
(1,4)	0	-0.657	0	-0.3
(1,5)	0	0	-0.3	0.08669999999999997
(2,1)	-0.657	-0.51	0	-0.3
(2,2)	-0.51	-0.657	-0.51	-0.51
(2,3)	-0.3	-0.3	-0.657	0
(2,4)	-0.3	0.050999999999999976	0	-0.3
(2,5)	0	0	0	0
(3,1)	-0.3	-0.3	0	0
(3,2)	-0.657	-0.51	-0.3	-0.3
(3,3)	-0.3	-0.51	-0.657	-0.5713875900000001
(3,4)	-0.29541	0	-0.51	-0.3
(3,5)	0.46869	0	-0.3	-0.3
(4,1)	0	-0.3	0	0
(4,2)	-0.3	-0.3	-0.3	0
(4,3)	0	-0.51	-0.3	0.770166
(4,4)	0	-0.51	-0.51	0
(4,5)	-0.657	0	-0.3	-0.51
(5,1)	0	0	0	0
(5,2)	0	0	0	0
(5,3)	0	0	0	0
(5,4)	0	-0.3	0.3323999999999999	0
(5,5)	-0.657	0	-0.649197	0


step :	400
x = 0
		N	E	W	S
(1,1)	0	0	0	0
(1,2)	0	0	0	-0.657
(1,3)	0	-0.657	-0.657	-0.79593144849
(1,4)	0	-0.657	-0.9176456999999998	-0.51
(1,5)	0	0	-0.7599	-0.8319300000000001
(2,1)	-0.15900000000000003	-0.657	0	-0.657
(2,2)	0	-0.7220098611	-0.8823509999999999	-0.270084
(2,3)	-0.8319300000000001	-0.657	-0.8823509999999999	1.3304594399999998
(2,4)	-0.8823509999999999	-0.8319300000000001	-0.61165214538	-0.489012289923
(2,5)	-0.8319300000000001	0	-0.9717524750999997	-0.8319300000000001
(3,1)	-0.51	-0.6390043706999999	0	-0.657
(3,2)	-0.3	1.5886674389999995	-0.51	-0.657
(3,3)	-0.21551554200000003	-0.49098985608	-0.21845657100000004	-0.51
(3,4)	-0.8319300000000001	-0.3	1.3743668699999998	-0.7599
(3,5)	-0.8319300000000001	0	-0.17630698170000003	-0.8319300000000001
(4,1)	-0.7599	-0.3	0	-0.657
(4,2)	-0.6910570706999999	-0.657	-0.3	-0.7599
(4,3)	0.6733580999999998	-0.7599	-0.7599	-0.51
(4,4)	-0.6402428309999999	-0.7599	-0.51	-0.7014204299999999
(4,5)	-0.8319300000000001	0	-0.51	-0.15900000000000003
(5,1)	-0.7599	-0.51	0	0
